0,0,0.349326,0.412519,-0.117449,-0.000296004,-0.00564816,-0.231317,0.972862
0,1,0.294543,-0.00304405,-0.265252,0.00484858,0.00786531,-0.00137056,0.999956
0,2,0,0,0,0,0,0,1
0,3,0,0,0,0,0,0,1
0,4,-0.0460936,-0.0943342,-0.0299052,0.00532247,-0.00715914,-0.0381425,0.999232
0,5,0,0,0,0,0,0,1
1,0,-3.83167,4.30443,0.155514,0.00569878,-0.0124352,-0.239252,0.970861
1,1,-5.08741,4.42874,0.0849481,-0.00425262,0.0124471,0.0278783,0.999525
1,2,-5.34576,4.21218,0.0411379,-0.0139153,-0.00694819,-0.0476036,0.998745
1,3,-4.11554,3.47602,0.196537,-0.00897941,-0.00157061,0.0128287,0.999876
1,4,-5.34576,4.21218,0.0411379,-0.0139153,-0.00694819,-0.0476036,0.998745
1,5,-5.34576,4.21218,0.0411379,-0.0139153,-0.00694819,-0.0476036,0.998745
2,0,-19.0821,12.1608,0.286671,0.0025986,-0.0528724,-0.23233,0.971195
2,1,-18.8424,13.4398,0.0602641,-0.00887282,-0.0279792,-0.0150487,0.999456
2,2,-20.075,12.3067,0.0410544,0.00489221,-0.0116955,0.0158753,0.999794
2,3,-20.075,12.3067,0.0410544,0.00489221,-0.0116955,0.0158753,0.999794
2,4,-12.2084,7.70717,-0.113755,-0.00880553,0.00301475,-0.037621,0.999249
2,5,-20.075,12.3067,0.0410544,0.00489221,-0.0116955,0.0158753,0.999794
3,0,-33.62,26.2863,0.377599,-0.000959703,-0.0108805,-0.237715,0.971274
3,1,-33.8161,26.584,0.27299,0.00420396,0.00804909,0.00732326,0.999932
3,2,-54.5141,58.0055,2.7994,-0.018196,-0.0339117,0.996971,-0.0675808
3,3,-31.7478,24.3107,0.603407,-0.00565575,-0.0099336,0.0196059,0.999742
3,4,-26.2103,18.1046,-0.00938221,-0.00765959,0.00152209,-0.0585624,0.998253
3,5,-40.924,36.5254,0.877253,-0.00784454,-0.000972962,0.997062,0.0761895
4,0,-43.6565,42.198,1.46616,-0.0194841,-0.00807909,-0.284185,0.958537
4,1,-49.0219,49.5068,2.13447,-0.0197198,0.0145925,-0.01091,0.99964
